Pickup Address,Pickup Latitude,Pickup Longitude,Drop Address,Drop Latitude,Drop Longitude,Time,Auto,Prime,Mini,Micro
Bhanwar Kuwa,22.6878,75.8665,Vijay Nagar,22.7533,75.8937,Noon,125 - 137,165 - 181,143 - 157,131 - 143
Bhanwar Kuwa,22.6878,75.8665,Rajwada,22.7177,75.8545,Noon,72 - 78,105 - 115,93 - 101,84 - 92
Bhanwar Kuwa,22.6878,75.8665,New Palasia,22.7244,75.8839,Noon,87 - 95,122  - 134,107 - 117,96 - 106
Bhanwar Kuwa,22.6878,75.8665,L.I.G,22.7344,75.8903,Noon,97 - 107,133 - 147,116 - 128,106  - 116
Bhanwar Kuwa,22.6878,75.8665,Khajrana ,22.7322,75.9019,Noon,66 - 72,134 - 148,115 - 127,96 - 106
Vijay Nagar,22.7533,75.8937,Rajwada,22.7177,75.8545,Noon,81 - 89,187 - 205,120 - 132,110 - 120
Vijay Nagar,22.7533,75.8937,New Palasia,22.7244,75.8839,Noon,40 - 44,110 - 120,96 - 106,88 - 96
Vijay Nagar,22.7533,75.8937,L.I.G,22.7344,75.8903,Noon,36 - 38,89 - 97,78 - 86,71 - 77
Vijay Nagar,22.7533,75.8937,Khajrana ,22.7322,75.9019,Noon,38 - 42,114 - 126,80 - 88 ,100 - 110
Rajwada,22.7177,75.8545,New Palasia,22.7244,75.8839,Noon,38 - 42,106 - 116,94 - 102,85 - 93
Rajwada,22.7177,75.8545,L.I.G,22.7344,75.8903,Noon,51 - 55,119 - 131,105 - 115,95 - 103
Rajwada,22.7177,75.8545,Khajrana ,22.7322,75.9019,Noon,66 - 72,134 - 148,117 - 129,107 - 117
Rajwada,22.7177,75.8545,Raj Maholla,22.7149,75.8432,Noon,33 - 35,69 - 75,61 - 67,56 - 60
Rajwada,22.7177,75.8545,Rajendra Nagar,22.6709,75.8275,Noon,91 - 99,149 - 163,130 - 142,117 - 129
Rajwada,22.7177,75.8545,Teen Imli Sqaure,22.689,75.8846,Noon,113 - 123,167 - 183,145 - 159,132 - 144
Rajwada,22.7177,75.8545,Pipliyahana,22.7056,75.9058,Noon,89 - 97,148 - 162,129 - 141,116 - 128
Rajwada,22.7177,75.8545,Navlakha Sqaure,22.698,75.8683,Noon,38 - 42,94 - 102,93 - 101,75 - 81
Rajwada,22.7177,75.8545,Airport,22.7282,75.8044,Noon,68 - 74,120 - 132,105 - 115,95 - 103
Rajwada,22.7177,75.8545,MahaLaxmi Nagar,22.759,75.9129,Noon,125 - 137,182 - 200,150 - 164,130 - 142
Rajwada,22.7177,75.8545,Tilak Nagar,22.719,75.8972,Noon,56 - 60,112 - 122,105 - 115,89 - 97
Rajwada,22.7177,75.8545,Rau,22.6399,75.8033,Noon,157 - 173,336 - 370,244 - 268,221 - 243
New Palasia,22.7244,75.8839,L.I.G,22.7344,75.8903,Noon,33 - 35,102 - 112,75 - 91,56 - 60
New Palasia,22.7244,75.8839,Khajrana ,22.7322,75.9019,Noon,36 - 38,120 - 132,83 - 91,65 - 71
New Palasia,22.7244,75.8839,Raj Maholla,22.7149,75.8432,Noon,56 - 60,167 - 183,114 - 124,90 - 98
New Palasia,22.7244,75.8839,Rajendra Nagar,22.6709,75.8275,Noon,137 - 151,288 - 318,152 - 166,138 - 152
New Palasia,22.7244,75.8839,Teen Imli Sqaure,22.689,75.8846,Noon,83 - 91,200 - 220,125 - 137,101 - 111
New Palasia,22.7244,75.8839,Pipliyahana,22.7056,75.9058,Noon,58 - 64,167 - 183,114 - 126,89 - 97
New Palasia,22.7244,75.8839,Navlakha Sqaure,22.698,75.8683,Noon,45 - 49,156 - 172,112 - 122,84 - 92
New Palasia,22.7244,75.8839,Airport,22.7282,75.8044,Noon,132 - 144,277 - 305,146 - 160,133 - 145
New Palasia,22.7244,75.8839,MahaLaxmi Nagar,22.759,75.9129,Noon,77 - 85,201 - 221,123 - 135,103 - 113
New Palasia,22.7244,75.8839,Tilak Nagar,22.719,75.8972,Noon,34 - 36,109 - 119,76 - 82,59 - 65
New Palasia,22.7244,75.8839,Rau,22.6399,75.8033,Noon,198 - 218,641 - 707,292 - 322,268 - 296
L.I.G,22.7344,75.8903,Khajrana ,22.7322,75.9019,Noon,38 - 40,110 - 120,94 - 102,67 - 73
L.I.G,22.7344,75.8903,Raj Maholla,22.7149,75.8432,Noon,111 - 121,200 - 220 ,152 - 168 ,126 - 138
L.I.G,22.7344,75.8903,Rajendra Nagar,22.6709,75.8275,Noon,180 - 198,318 - 350,200 - 220,186 - 204
L.I.G,22.7344,75.8903,Teen Imli Sqaure,22.689,75.8846,Noon,128 - 140,213 - 235,164 - 180,131 - 143
L.I.G,22.7344,75.8903,Pipliyahana,22.7056,75.9058,Noon,96 - 106,189 - 207,140 - 154,114 - 124
